ITEM,VALUE,TYPE,CATEGORY,CREATED_AT
Soda Lemon,10000,0,0,2020-09-24 11:47:25
Jus Stroberi,15000,0,0,2023-09-23 18:44:35
Ikan Bakar,30000,0,0,2020-05-21 02:42:51
Investasi,3000000,12,1,2022-07-19 14:43:26
Soda Susu,10000,0,0,2023-01-08 10:40:12
Susu Kedelai,6000,0,0,2020-06-04 20:17:32
Nasi Kebuli,30000,0,0,2023-06-19 13:51:50
Susu Kedelai,6000,0,0,2022-10-07 15:09:16
Nasi Padang,25000,0,0,2019-12-19 09:57:57
Kepiting Saus Padang,40000,0,0,2019-10-29 14:05:59
Jus Wortel,8000,0,0,2022-03-13 13:53:08
Soda Apel,10000,0,0,2021-02-24 12:55:12
Tongseng,30000,0,0,2021-01-22 05:46:10
Capcay,20000,0,0,2019-05-14 14:01:41
Teh Sereh,7000,0,0,2021-09-20 20:01:13
Teh Merah,7000,0,0,2020-12-28 17:27:09
Es Teh,5000,0,0,2020-06-09 11:18:32
Sop Iga,35000,0,0,2021-04-23 01:23:37
Soto Padang,25000,0,0,2021-03-29 22:54:02
Jus Markisa,15000,0,0,2022-01-26 12:25:55
Jus Semangka,15000,0,0,2023-10-10 21:14:20
Es Kopi Susu,12000,0,0,2021-05-29 12:36:02
Ayam Goreng,25000,0,0,2020-01-19 14:55:22
Jus Anggur,15000,0,0,2022-10-05 11:21:10
Teh Oolong,8000,0,0,2021-03-05 18:07:37
Asinan Betawi,15000,0,0,2019-06-28 14:15:48
Bajaj,20000,1,0,2021-12-09 02:05:22
Lontong Sayur,15000,0,0,2022-07-07 03:21:49
Rujak Cingur,20000,0,0,2019-12-10 14:02:34
Kolak,15000,0,0,2020-09-15 11:17:42
Kopi Gayo,15000,0,0,2021-02-17 20:01:55
Empal Gentong,30000,0,0,2021-05-07 23:46:29
Sayur Lodeh,15000,0,0,2020-06-04 12:58:31
Air Jahe,7000,0,0,2020-09-06 20:12:42
Es Semangka,8000,0,0,2020-02-06 11:15:36
Air Kelapa,10000,0,0,2019-09-10 12:01:30
Tahu Gejrot,10000,0,0,2019-02-20 12:54:23
Soda Lemon,10000,0,0,2023-09-29 06:37:23
Ikan Bakar,30000,0,0,2022-11-10 06:19:16
Sop Iga,35000,0,0,2019-08-09 12:28:35
Becak,10000,1,0,2023-10-21 04:12:00
Nasi Padang,25000,0,0,2023-05-16 06:50:44
Bajaj,20000,1,0,2020-09-02 19:13:08
Rujak Manis,15000,0,0,2023-07-08 15:10:54
Gaji,10000000,10,1,2022-09-06 21:10:03
Air Putih,3000,0,0,2023-11-07 05:02:23
Gulai Kambing,35000,0,0,2023-02-07 22:15:45
Nasi Liwet,25000,0,0,2021-06-02 20:55:49
Bandrek,8000,0,0,2020-04-17 21:09:42
LRT,15000,1,0,2020-03-16 08:53:26
Soda Jeruk,10000,0,0,2023-05-28 05:43:25
Jus Nanas,15000,0,0,2019-02-13 17:17:17
Ikan Goreng,20000,0,0,2023-11-06 06:33:54
Rujak Cingur,20000,0,0,2020-11-11 18:07:47
Air Jahe,7000,0,0,2023-08-29 15:49:06
Rawon,25000,0,0,2022-09-01 19:57:35
Becak,10000,1,0,2023-10-31 08:34:53
Soto Betawi,25000,0,0,2021-07-15 12:16:53
Ikan Asin,10000,0,0,2023-06-10 13:38:44
Menghadiri Festival Budaya,50000,2,0,2022-11-15 20:37:06
Sop Buntut,40000,0,0,2021-03-01 14:26:57
Air Tebu,5000,0,0,2021-07-07 10:24:16
Air Putih,3000,0,0,2020-06-04 20:55:53
Nasi Padang,25000,0,0,2019-01-15 05:00:14
Mengunjungi Taman Hiburan,150000,2,0,2022-04-15 00:07:05
Bajaj,20000,1,0,2019-11-01 10:47:07
Angkot,5000,1,0,2021-08-25 22:43:06
Teh Putih,9000,0,0,2021-11-30 09:22:45
Taksi,50000,1,0,2020-05-03 18:52:54
Rawon,25000,0,0,2022-12-20 05:20:05
Mendaki Gunung,75000,2,0,2021-11-01 16:17:56
Es Buah,15000,0,0,2020-06-16 21:51:20
Nasi Pecel,15000,0,0,2023-09-19 19:28:40
Kepiting Saus Padang,40000,0,0,2019-05-02 12:55:28
Soda Susu,10000,0,0,2020-04-08 19:49:35
Kopi Luwak,50000,0,0,2019-07-28 13:03:53
Martabak,30000,0,0,2022-05-29 13:40:46
Wedang Jahe,8000,0,0,2019-01-08 23:26:33
Kwetiau Goreng,20000,0,0,2022-06-30 08:45:42
Sayur Lodeh,15000,0,0,2023-11-16 04:15:02
Bajaj,20000,1,0,2022-01-20 19:10:47
Es Kacang Merah,10000,0,0,2022-12-31 19:43:39
Nasi Brongkos,20000,0,0,2021-02-26 02:14:13
Bebek Goreng,30000,0,0,2019-07-03 11:26:05
Sayur Lodeh,15000,0,0,2020-03-05 18:33:32
Es Pala,8000,0,0,2021-07-13 06:03:07
Becak,10000,1,0,2020-02-10 01:25:09
Sate Padang,25000,0,0,2022-11-05 07:52:56
Sate Lilit,30000,0,0,2019-10-12 00:17:24
Pecel,15000,0,0,2021-02-26 14:07:34
Capcay,20000,0,0,2021-06-19 05:44:53
Air Putih,3000,0,0,2023-05-29 22:22:54
Es Mangga,8000,0,0,2023-09-30 08:51:02
Susu Kambing,15000,0,0,2020-12-06 00:14:22
Bakso Malang,20000,0,0,2021-08-12 07:36:57
Tumis Kangkung,15000,0,0,2019-08-13 15:31:45
Mendaki Gunung,75000,2,0,2021-07-10 17:01:02
Es Selasih,10000,0,0,2022-01-11 08:46:43
Bajaj,20000,1,0,2022-07-08 08:35:41
Nasi Brongkos,20000,0,0,2021-06-22 23:05:00
Rendang,30000,0,0,2019-08-22 20:43:42
Nasi Rawon,25000,0,0,2019-11-13 13:48:48
Ayam Penyet,20000,0,0,2021-03-08 23:06:02
Angkot,5000,1,0,2020-12-26 16:24:10
Rawon,25000,0,0,2020-07-08 01:21:33
Jus Sirsak,15000,0,0,2022-10-06 16:42:58
Nasi Bebek,25000,0,0,2023-09-24 22:50:16
Bajaj,20000,1,0,2022-06-19 03:50:10
Bebek Betutu,35000,0,0,2020-05-16 10:53:25
Bir Pletok,12000,0,0,2019-10-05 04:15:37
Angkot,5000,1,0,2020-07-20 11:25:10
Bebek Betutu,35000,0,0,2021-01-13 01:47:32
Es Blewah,8000,0,0,2022-06-01 04:20:29
Sambal Terasi,10000,0,0,2022-05-14 09:33:04
Nasi Gudeg,20000,0,0,2019-07-13 12:23:08
Es Jeruk,6000,0,0,2019-09-21 22:43:04
Jus Pepaya,15000,0,0,2023-12-28 19:26:28
Kopi Tubruk,10000,0,0,2023-05-21 04:47:15
Mie Tek-Tek,15000,0,0,2023-05-07 00:35:20
Tahu Gejrot,10000,0,0,2021-08-22 12:33:36
Air Jahe,7000,0,0,2021-09-17 10:04:13
Kerak Telor,20000,0,0,2020-01-01 09:05:04
Nasi Timbel,20000,0,0,2021-07-24 02:22:16
Jus Anggur,15000,0,0,2022-03-13 15:23:55
Es Campur,15000,0,0,2021-05-28 10:39:53
Nasi Padang,25000,0,0,2019-09-03 03:29:04
Teh Jahe,7000,0,0,2022-10-28 05:48:51
Ayam Bakar,25000,0,0,2022-09-21 03:09:41
Menghadiri Festival Budaya,50000,2,0,2020-01-09 07:44:14
Soda Susu,10000,0,0,2023-11-04 15:13:46
Kopi Luwak,50000,0,0,2019-03-06 01:10:01
Susu Kedelai,6000,0,0,2019-07-16 13:42:46
Rujak Cingur,20000,0,0,2021-07-29 15:51:54
Es Teh,5000,0,0,2020-04-25 11:36:34
Gulai Kambing,35000,0,0,2020-11-04 06:13:17
Sop Iga,35000,0,0,2019-01-13 20:50:00
Pepes Tahu,15000,0,0,2020-04-09 23:15:11
Teh Rosella,7000,0,0,2019-02-09 08:40:47
Ketoprak,15000,0,0,2019-11-28 14:06:07
Air Kelapa,10000,0,0,2019-06-15 20:33:53
Es Nangka,10000,0,0,2022-09-26 22:49:39
Teh Sereh,7000,0,0,2023-05-19 22:08:50
Ikan Goreng,20000,0,0,2020-05-20 14:17:45
Tumis Kangkung,15000,0,0,2020-05-09 12:15:00
Ayam Penyet,20000,0,0,2023-10-01 19:55:07
Es Apel,8000,0,0,2021-02-03 05:37:10
Nasi Liwet,25000,0,0,2022-10-19 08:28:34
Es Kacang Merah,10000,0,0,2023-03-24 20:15:40
Susu Jahe,8000,0,0,2022-08-16 10:40:45
Ojek,15000,1,0,2021-10-08 21:34:47
Angkot,5000,1,0,2021-01-25 16:03:17
Es Melon,8000,0,0,2022-10-14 02:04:08
Es Timun Suri,8000,0,0,2022-03-15 08:30:52
Capcay,20000,0,0,2023-04-15 03:16:34
Bubur Ayam,15000,0,0,2020-12-27 04:09:01
Kepiting Saus Padang,40000,0,0,2021-04-12 22:41:33
Teh Melati,7000,0,0,2021-06-16 03:35:15
Susu Kedelai,6000,0,0,2020-05-13 20:44:13
Es Blewah,8000,0,0,2023-05-12 09:31:46
Es Cendol,7000,0,0,2020-09-27 00:34:40
Becak,10000,1,0,2019-11-19 14:59:00
Gudeg,20000,0,0,2019-10-10 11:16:05
Soda Gembira,10000,0,0,2019-09-07 18:11:51
Gulai Kambing,35000,0,0,2020-09-14 03:00:58
Nasi Padang,25000,0,0,2021-01-29 11:17:43
Konsultasi,250000,3,0,2022-05-10 01:35:34
Tumis Kangkung,15000,0,0,2020-02-24 04:14:29
Beli Obat,100000,3,0,2022-08-15 03:21:45
Air Kelapa,10000,0,0,2021-04-08 10:24:47
Sop Ayam,20000,0,0,2019-08-01 12:48:01
Ikan Asin,10000,0,0,2020-07-21 17:10:48
Becak,10000,1,0,2020-05-10 15:30:20
Soda Gembira,10000,0,0,2021-08-18 00:44:03
Sop Iga,35000,0,0,2021-10-14 13:50:50
Jus Jeruk,8000,0,0,2020-09-15 18:10:21
Teh Oolong,8000,0,0,2019-12-29 06:29:51
Kerak Telor,20000,0,0,2021-06-13 21:13:31
Kopi Susu,12000,0,0,2021-02-02 10:57:37
Es Kopi Susu,12000,0,0,2022-02-25 17:25:31
Es Doger,12000,0,0,2022-05-07 07:08:46
Becak,10000,1,0,2022-02-09 11:04:23
Rujak Manis,15000,0,0,2019-10-23 23:25:19
Es Susu Coklat,8000,0,0,2022-09-13 12:45:05
Rendang,30000,0,0,2021-01-14 13:51:52
Es Semangka,8000,0,0,2021-11-17 20:27:05
Soto Kudus,20000,0,0,2023-04-17 06:17:13
Es Blewah,8000,0,0,2022-03-25 04:22:17
Air Jahe,7000,0,0,2023-06-10 10:23:55
Es Kolang Kaling,8000,0,0,2019-12-11 15:32:52
Jus Alpukat,15000,0,0,2022-05-19 04:52:41
Teh Oolong,8000,0,0,2019-07-05 19:59:30
Ojek,15000,1,0,2020-04-14 17:10:51
Nasi Goreng Kambing,25000,0,0,2020-01-19 02:36:00
Jus Markisa,15000,0,0,2020-03-15 21:34:05
Nasi Lemak,20000,0,0,2021-10-05 21:16:28
Soto Kudus,20000,0,0,2020-01-07 06:52:05
Taksi,50000,1,0,2023-12-06 23:01:04
Bebek Goreng,30000,0,0,2023-10-03 09:27:00
Nasi Goreng Kambing,25000,0,0,2023-07-06 11:03:28
Es Lidah Buaya,10000,0,0,2020-06-13 10:49:55
Susu Kambing,15000,0,0,2023-11-29 22:48:11
Ayam Taliwang,30000,0,0,2022-08-15 08:46:01
Es Terong Belanda,10000,0,0,2019-06-22 06:16:32
Capcay,20000,0,0,2023-02-01 01:37:00
Nasi Kucing,10000,0,0,2019-03-04 03:59:33
Es Krim,10000,0,0,2023-11-21 23:59:06
Teh Hijau,5000,0,0,2020-09-18 09:15:45
Sate Lilit,30000,0,0,2022-06-16 02:01:04
Bebek Betutu,35000,0,0,2020-11-08 10:33:36
Soto Lamongan,20000,0,0,2022-09-04 23:12:37
Es Goyobod,10000,0,0,2021-07-27 02:24:32
Kopi Luwak,50000,0,0,2022-12-12 00:03:49
Susu Jahe,8000,0,0,2023-11-05 15:00:39
Ikan Asin,10000,0,0,2022-12-08 07:54:14
Kopi Tubruk,10000,0,0,2020-12-31 00:39:23
Es Kopi,12000,0,0,2020-01-15 04:10:36
Kopi Tubruk,10000,0,0,2020-03-30 17:03:22
Nasi Goreng Kambing,25000,0,0,2021-03-02 17:17:27
Bajaj,20000,1,0,2023-09-18 13:44:09
Es Mangga,8000,0,0,2020-12-13 22:00:10
Udang Balado,35000,0,0,2023-06-26 23:39:29
Soda Jeruk,10000,0,0,2022-03-24 04:55:37
Sate Maranggi,30000,0,0,2023-10-11 15:01:35
Bebek Goreng,30000,0,0,2020-04-02 16:29:28
Soto Betawi,25000,0,0,2020-07-14 02:25:12
Gulai Kambing,35000,0,0,2020-06-02 19:41:43
Air Putih,3000,0,0,2019-07-27 11:40:09
Ketoprak,15000,0,0,2021-11-01 12:30:07
Ayam Penyet,20000,0,0,2021-01-07 02:21:35
Bandeng Presto,25000,0,0,2021-01-22 01:36:46
Susu Kedelai,6000,0,0,2020-11-16 07:44:03
Bermain di Waterpark,100000,2,0,2019-10-12 01:01:26
Kopi Luwak,50000,0,0,2019-05-17 18:54:46
Tahu Gejrot,10000,0,0,2023-02-27 22:54:03
Mengunjungi Kebun Binatang,50000,2,0,2021-02-09 23:55:52
Soda Jeruk,10000,0,0,2019-12-28 21:16:23
Susu Kambing,15000,0,0,2019-06-10 18:06:21
Teh Hijau,5000,0,0,2021-08-29 04:55:20
Es Doger,12000,0,0,2021-05-18 16:41:17
Karedok,15000,0,0,2019-10-28 19:27:28
Bubur Ayam,15000,0,0,2019-07-10 17:17:16
Air Jahe,7000,0,0,2023-09-02 12:16:36
Sayur Asem,15000,0,0,2023-01-21 03:45:05
Nasi Kuning,15000,0,0,2021-12-08 17:26:12
Jus Tomat,8000,0,0,2022-09-17 21:15:07
Soto Bandung,25000,0,0,2022-03-12 11:28:31
Empal Gentong,30000,0,0,2021-06-16 12:30:42
Soto Lamongan,20000,0,0,2020-06-02 22:58:06
Nasi Campur,25000,0,0,2020-08-11 14:50:29
Nasi Goreng Kambing,25000,0,0,2023-05-31 13:57:30
Bajaj,20000,1,0,2023-10-24 19:19:17
Bajaj,20000,1,0,2019-03-13 05:01:20
Teh Oolong,8000,0,0,2021-10-30 15:38:41
Mengikuti Kelas atau Workshop,100000,2,0,2021-12-17 22:03:01
Susu Kambing,15000,0,0,2022-09-10 20:04:19
Air Jahe,7000,0,0,2022-08-29 12:32:12
MRT,15000,1,0,2022-07-16 01:37:48
Lumpia Semarang,15000,0,0,2023-10-31 04:14:02
Soda Apel,10000,0,0,2019-01-04 16:10:32
Soda Susu,10000,0,0,2020-01-02 13:44:57
Air Tebu,5000,0,0,2019-05-09 19:36:26
Bajigur,8000,0,0,2021-06-14 15:19:26
Es Apel,8000,0,0,2021-07-03 00:55:22
Sop Kaki Kambing,35000,0,0,2023-01-31 21:29:05
Susu Kambing,15000,0,0,2022-06-30 02:10:13
Ojek,15000,1,0,2023-11-04 13:21:08
Es Kopi,12000,0,0,2020-07-04 17:31:09
Pecel,15000,0,0,2020-02-07 12:57:27
Becak,10000,1,0,2023-07-23 23:10:37
Susu Jahe,8000,0,0,2021-08-25 13:56:02
Bir Pletok,12000,0,0,2019-06-03 03:12:20
Jus Buah,15000,0,0,2020-06-08 13:31:20
Susu Jahe,8000,0,0,2022-10-25 04:13:09
Berkemah,50000,2,0,2023-05-20 19:28:19
Soda Jeruk,10000,0,0,2020-01-12 18:26:29
Bus,5000,1,0,2019-04-17 11:56:22
Ikan Goreng,20000,0,0,2021-05-14 16:23:01
Kwetiau Goreng,20000,0,0,2023-04-29 17:50:33
Jus Markisa,15000,0,0,2022-03-08 19:28:22
Sate Madura,25000,0,0,2020-02-04 18:40:43
Lumpia Semarang,15000,0,0,2021-04-18 21:55:57
Soto Madura,25000,0,0,2021-09-14 19:41:53
Sate Madura,25000,0,0,2021-03-16 10:02:51
Es Teler,15000,0,0,2020-04-08 11:28:45
Mengunjungi Pantai,30000,2,0,2019-10-13 07:17:30
Taksi,50000,1,0,2022-08-11 04:48:01
Tahu Gejrot,10000,0,0,2020-09-11 06:00:47
Es Krim,10000,0,0,2019-06-16 18:24:29
Jus Tomat,8000,0,0,2022-04-01 12:40:29
Jus Buah Naga,15000,0,0,2021-02-20 08:48:34
Bakso Malang,20000,0,0,2023-01-05 03:55:09
Es Doger,12000,0,0,2019-07-01 00:40:05
Es Timun,8000,0,0,2021-06-25 20:42:57
Siomay,20000,0,0,2020-09-05 08:16:00
Es Mangga,8000,0,0,2019-06-10 17:12:03
Wedang Jahe,8000,0,0,2020-10-31 11:11:06
Jus Nanas,15000,0,0,2019-12-12 19:57:13
Es Apel,8000,0,0,2019-04-21 00:10:32
Jus Sirsak,15000,0,0,2019-12-21 03:18:49
Jus Melon,15000,0,0,2019-12-17 15:38:08
Teh Merah,7000,0,0,2022-02-24 10:07:44
Gulai Ikan,25000,0,0,2021-01-05 03:57:37
Gado-Gado,15000,0,0,2021-01-13 14:45:17
Teh Tarik,8000,0,0,2023-07-17 23:24:24
Opor Ayam,20000,0,0,2023-01-12 03:20:52
Becak,10000,1,0,2020-07-27 16:41:39
Kerak Telor,20000,0,0,2021-11-13 08:16:43
Es Cendol,7000,0,0,2019-12-17 01:06:44
Ikan Goreng,20000,0,0,2021-03-31 15:25:32
Tongseng,30000,0,0,2020-10-18 05:30:15
Ikan Pepes,25000,0,0,2020-09-08 23:09:43
Sate Kambing,35000,0,0,2020-05-17 12:11:14
Nasi Pecel,15000,0,0,2022-04-26 16:38:57
Susu Kedelai,6000,0,0,2020-05-21 06:29:18
MRT,15000,1,0,2022-04-18 18:14:06
Kepiting Saus Padang,40000,0,0,2022-12-10 05:39:59
Es Melon,8000,0,0,2020-12-28 11:06:07
Es Pepaya,10000,0,0,2022-03-12 18:10:20
Soto Padang,25000,0,0,2020-06-19 06:22:31
Tahu Sumedang,10000,0,0,2019-03-29 03:28:05
Sayur Asem,15000,0,0,2021-09-02 03:22:52
Soto Padang,25000,0,0,2021-10-03 21:10:25
Es Cincau,7000,0,0,2020-04-15 04:23:54
Es Terong Belanda,10000,0,0,2020-01-24 23:39:47
Sop Buntut,40000,0,0,2019-03-23 19:22:43
Tempe Mendoan,15000,0,0,2021-09-24 10:38:03
Soda Gembira,10000,0,0,2019-11-12 02:13:57
Es Kacang Merah,10000,0,0,2021-10-21 11:15:54
Es Terong Belanda,10000,0,0,2023-08-03 20:45:19
Teh Jahe,7000,0,0,2020-10-30 06:24:46
Sop Kaki Kambing,35000,0,0,2022-02-13 09:55:13
Air Jahe,7000,0,0,2022-11-05 07:22:04
Soto Madura,25000,0,0,2023-05-27 11:29:42
Rawon,25000,0,0,2022-03-24 14:40:06
Nasi Rawon,25000,0,0,2020-10-15 17:27:47
Gulai Ikan,25000,0,0,2023-12-15 23:52:33
Soda Jeruk,10000,0,0,2021-05-17 20:57:41
Jus Buah Naga,15000,0,0,2023-04-26 18:26:25
Es Susu Vanilla,8000,0,0,2022-02-22 15:19:48
Soto Bandung,25000,0,0,2020-01-12 00:55:29
Ikan Asin,10000,0,0,2023-10-20 16:46:22
Kopi Tubruk,10000,0,0,2020-01-05 23:41:42
Bir Pletok,12000,0,0,2019-06-07 13:55:13
Nasi Lemak,20000,0,0,2023-06-27 06:14:23
Nasi Timbel,20000,0,0,2023-10-31 10:43:20
Jus Tomat,8000,0,0,2023-12-03 07:51:49
Sate Padang,25000,0,0,2020-02-05 16:36:53
Becak,10000,1,0,2020-07-27 20:05:55
Nasi Pecel,15000,0,0,2019-06-28 22:59:39
Es Cincau,7000,0,0,2020-12-25 08:51:35
Nasi Pecel,15000,0,0,2019-09-26 12:18:12
Bajaj,20000,1,0,2020-07-22 19:02:46
Teh Sereh,7000,0,0,2022-11-23 22:32:15
Air Lemon,7000,0,0,2020-08-02 04:40:21
Es Susu Coklat,8000,0,0,2021-10-14 22:39:21
Martabak,30000,0,0,2021-02-16 17:24:54
Sop Buntut,40000,0,0,2019-03-05 20:23:03
Soda Jeruk,10000,0,0,2022-03-11 19:50:35
Nasi Timbel,20000,0,0,2022-10-15 19:17:15
Air Jahe,7000,0,0,2022-02-19 03:13:06
Mengunjungi Museum,25000,2,0,2022-12-30 05:56:27
Air Jeruk Nipis,7000,0,0,2021-07-13 09:39:28
Sop Buntut,40000,0,0,2022-07-03 03:36:00
Nasi Kebuli,30000,0,0,2021-05-10 09:04:20
Ikan Goreng,20000,0,0,2022-04-01 12:57:04
Nasi Uduk,15000,0,0,2021-03-30 08:15:29
Teh Hijau,5000,0,0,2021-10-16 20:03:57
Nasi Pecel,15000,0,0,2022-04-01 21:32:11
Rujak Manis,15000,0,0,2022-07-05 09:21:21
Soto Kudus,20000,0,0,2020-05-22 08:41:31
Bajaj,20000,1,0,2021-02-25 10:08:15
Bajigur,8000,0,0,2022-12-30 07:30:52
Teh Rosella,7000,0,0,2022-07-01 05:51:23
Sambal Goreng,15000,0,0,2019-02-17 13:07:33
Es Leci,10000,0,0,2020-07-21 06:06:53
Tongseng,30000,0,0,2019-12-07 01:44:57
Soda Apel,10000,0,0,2021-04-30 13:38:08
Gulai Kambing,35000,0,0,2020-10-07 03:33:42
Jus Jambu,15000,0,0,2021-06-14 16:55:22
Air Tebu,5000,0,0,2022-05-22 21:54:23
Ikan Goreng,20000,0,0,2021-10-10 08:04:53
Nasi Kuning,15000,0,0,2019-11-30 02:18:16
Nasi Campur,25000,0,0,2023-06-28 14:01:51
Bajaj,20000,1,0,2020-10-19 12:52:30
Sop Buntut,40000,0,0,2021-04-01 23:37:58
Bisnis Sampingan,4000000,10,1,2020-07-17 18:31:30
Nasi Kebuli,30000,0,0,2021-10-28 04:07:14
