ITEM,VALUE,TYPE,CATEGORY,CREATED_AT
Bandeng Presto,25000,0,0,2022-10-15 02:16:42
Rujak Manis,15000,0,0,2023-02-21 21:29:30
Kerak Telor,20000,0,0,2022-10-15 15:59:15
Es Goyobod,10000,0,0,2023-10-15 21:43:16
Nasi Goreng,20000,0,0,2023-01-16 11:31:34
Siomay,20000,0,0,2024-02-23 07:44:26
Soto Padang,25000,0,0,2022-09-29 21:08:22
Jus Jeruk,8000,0,0,2024-08-25 20:04:15
Nasi Bebek,25000,0,0,2022-10-11 09:20:44
Mie Kocok,20000,0,0,2022-11-17 16:21:48
Es Susu Kedelai,6000,0,0,2024-04-13 00:57:56
Soda Gembira,10000,0,0,2024-02-17 02:25:00
Sambal Terasi,10000,0,0,2023-03-01 19:06:08
MRT,15000,1,0,2022-10-18 04:35:06
Air Lemon,7000,0,0,2022-10-21 19:16:49
Opor Ayam,20000,0,0,2023-10-05 16:52:38
Soto Bandung,25000,0,0,2022-11-12 16:44:00
Bajaj,20000,1,0,2023-05-13 19:45:23
Ayam Bakar,25000,0,0,2023-12-30 00:48:53
Sambal Goreng,15000,0,0,2024-03-29 10:52:52
Es Susu,7000,0,0,2024-01-13 06:27:29
Jus Jeruk,8000,0,0,2024-02-21 03:55:35
Jus Melon,15000,0,0,2023-06-10 09:05:38
Becak,10000,1,0,2022-09-16 16:11:34
Mie Goreng,18000,0,0,2023-05-10 10:33:28
Opor Ayam,20000,0,0,2024-02-28 01:25:03
Martabak,30000,0,0,2024-01-20 22:56:49
Air Lemon,7000,0,0,2024-04-05 14:31:42
Jus Jambu,15000,0,0,2023-01-14 00:11:42
Susu Kambing,15000,0,0,2022-09-30 07:54:41
Serabi,10000,0,0,2023-08-24 16:54:34
Soto Ayam,18000,0,0,2023-12-12 08:12:28
Lumpia Semarang,15000,0,0,2023-06-18 22:29:09
Nasi Liwet,25000,0,0,2022-10-27 04:25:03
Nasi Kebuli,30000,0,0,2024-02-27 11:50:36
Mengunjungi Pantai,30000,2,0,2022-08-25 18:53:20
Kerak Telor,20000,0,0,2024-06-07 14:58:23
Teh Manis,5000,0,0,2023-12-25 09:54:39
Gudeg,20000,0,0,2024-05-20 16:21:37
Ikan Pepes,25000,0,0,2023-04-07 19:45:49
Soto Lamongan,20000,0,0,2024-07-26 05:35:02
Rendang,30000,0,0,2023-12-06 05:14:48
Pempek,20000,0,0,2023-08-11 02:10:00
Martabak,30000,0,0,2024-04-29 15:20:16
Angkot,5000,1,0,2024-05-09 10:23:45
Kopi Tubruk,10000,0,0,2023-09-11 22:23:13
Es Pepaya,10000,0,0,2023-03-28 23:00:12
Rawon,25000,0,0,2024-04-19 15:01:53
Tempe Mendoan,15000,0,0,2024-08-09 21:03:04
Tongseng,30000,0,0,2024-04-22 03:54:44
Susu Jahe,8000,0,0,2024-03-30 03:29:36
Soto Ayam,18000,0,0,2023-09-23 05:35:55
Ayam Penyet,20000,0,0,2023-02-04 07:40:01
Bebek Betutu,35000,0,0,2023-02-26 13:56:31
Rujak Cingur,20000,0,0,2023-11-30 22:37:08
Es Semangka,8000,0,0,2022-09-30 14:59:50
Jus Belimbing,15000,0,0,2022-09-19 01:19:00
Jus Jeruk,8000,0,0,2023-04-08 08:32:50
Soto Kudus,20000,0,0,2023-09-29 11:00:14
Jus Jeruk,8000,0,0,2022-10-25 16:25:43
Gaji,10000000,10,1,2023-11-27 06:49:03
Ayam Bakar,25000,0,0,2023-12-24 07:31:00
Jus Pepaya,15000,0,0,2022-11-14 14:23:24
Asinan Betawi,15000,0,0,2022-10-28 09:58:02
Rendang,30000,0,0,2023-08-28 09:54:47
Es Jeruk,6000,0,0,2023-01-23 00:50:37
Soto Bandung,25000,0,0,2024-06-11 01:35:20
Ikan Pepes,25000,0,0,2024-05-26 18:13:41
Tongseng,30000,0,0,2024-07-04 03:54:33
Es Selasih,10000,0,0,2023-12-28 10:06:22
Kopi Tubruk,10000,0,0,2023-12-27 01:25:51
Nasi Bebek,25000,0,0,2023-07-09 21:43:18
Jus Buah Naga,15000,0,0,2023-05-30 16:53:34
Bubur Ayam,15000,0,0,2024-05-07 12:38:36
Teh Melati,7000,0,0,2024-08-14 14:04:48
Ayam Goreng,25000,0,0,2022-12-01 09:37:13
Es Selasih,10000,0,0,2022-12-27 13:01:36
Sambal Matah,10000,0,0,2023-04-18 05:09:00
Taksi,50000,1,0,2022-10-10 06:42:30
Sate Ayam,25000,0,0,2023-12-31 01:30:42
Siomay,20000,0,0,2023-04-05 04:53:36
Royalti,2000000,11,1,2022-12-15 16:18:37
Es Jeruk Bali,10000,0,0,2023-03-10 05:30:58
Es Terong Belanda,10000,0,0,2024-01-05 15:43:16
Nasi Campur,25000,0,0,2023-06-23 15:47:43
Jus Buah Naga,15000,0,0,2022-11-24 17:04:31
Teh Melati,7000,0,0,2024-01-03 00:48:47
Beli Obat,100000,3,0,2023-06-25 04:15:38
Bajigur,8000,0,0,2022-09-27 10:05:42
Becak,10000,1,0,2022-09-18 01:25:29
Jus Jambu,15000,0,0,2022-09-10 11:51:13
Gudeg,20000,0,0,2024-07-15 12:52:03
Es Goyobod,10000,0,0,2023-07-16 10:24:49
Bajaj,20000,1,0,2024-04-29 04:36:00
Es Goyobod,10000,0,0,2023-08-07 15:57:04
Pecel Lele,20000,0,0,2022-10-04 08:26:08
Susu Kambing,15000,0,0,2023-06-15 20:47:59
Es Melon,8000,0,0,2024-02-20 17:23:54
Bakso Malang,20000,0,0,2023-11-26 03:58:58
Es Kopi Susu,12000,0,0,2023-04-27 20:41:39
Pempek,20000,0,0,2022-10-31 00:32:06
Es Doger,12000,0,0,2022-11-20 06:03:26
Susu,7000,0,0,2023-04-11 06:46:09
Jus Tomat,8000,0,0,2023-03-13 19:43:44
Tahu Sumedang,10000,0,0,2022-11-28 07:24:35
Sop Iga,35000,0,0,2023-05-01 03:39:04
Ayam Betutu,30000,0,0,2024-01-07 11:18:59
Konsultasi,250000,3,0,2024-05-18 07:40:44
Lontong Sayur,15000,0,0,2023-10-31 21:12:55
Susu Sapi,8000,0,0,2022-08-06 19:19:43
Tempe Mendoan,15000,0,0,2023-02-20 10:12:11
Taksi,50000,1,0,2023-10-07 13:33:44
Teh Putih,9000,0,0,2023-10-29 00:00:19
Pindang Patin,25000,0,0,2024-01-16 17:37:22
Pepes Tahu,15000,0,0,2023-06-04 11:21:27
Es Pala,8000,0,0,2023-12-01 20:57:12
Lumpia Semarang,15000,0,0,2022-10-16 19:28:21
Nasi Goreng Kambing,25000,0,0,2022-09-11 09:55:59
Tumis Kangkung,15000,0,0,2023-06-14 12:22:46
Rujak Manis,15000,0,0,2023-05-30 19:05:53
Opor Ayam,20000,0,0,2023-12-08 22:19:13
Jus Jeruk,8000,0,0,2022-11-13 13:02:53
Pindang Patin,25000,0,0,2024-09-10 12:56:46
Air Putih,3000,0,0,2024-03-25 14:26:40
Es Goyobod,10000,0,0,2024-07-26 19:50:57
Es Blewah,8000,0,0,2024-06-03 23:39:33
Taksi,50000,1,0,2023-10-28 07:48:41
Opor Ayam,20000,0,0,2023-10-08 22:04:26
Teh Melati,7000,0,0,2023-08-14 23:06:22
Lumpia Semarang,15000,0,0,2024-04-13 00:04:11
Ikan Pepes,25000,0,0,2023-04-25 01:49:31
Coto Makassar,25000,0,0,2024-01-22 02:56:59
Tongseng,30000,0,0,2022-09-29 03:17:47
Soda Apel,10000,0,0,2022-11-18 12:04:04
Mie Aceh,20000,0,0,2022-10-03 01:14:53
Kopi,10000,0,0,2022-10-09 05:34:10
Bajaj,20000,1,0,2024-04-09 20:08:31
Bajaj,20000,1,0,2023-03-05 09:26:51
Soto Madura,25000,0,0,2023-10-26 04:34:42
Pecel,15000,0,0,2024-05-29 13:25:57
Es Kacang Merah,10000,0,0,2023-04-11 10:39:39
Soda Jeruk,10000,0,0,2023-07-04 19:15:52
Es Susu,7000,0,0,2024-01-16 16:57:34
Nasi Kebuli,30000,0,0,2024-04-08 20:39:27
Bajaj,20000,1,0,2024-08-05 12:42:12
Bir Pletok,12000,0,0,2023-12-12 22:02:18
Empal Gentong,30000,0,0,2024-01-23 06:56:28
Rendang,30000,0,0,2023-02-04 07:51:36
Nasi Brongkos,20000,0,0,2024-04-28 21:33:33
Jus Stroberi,15000,0,0,2024-03-15 05:21:06
Ojek,15000,1,0,2024-03-20 09:48:24
Gaji,10000000,10,1,2023-12-16 12:17:24
Bubur Ayam,15000,0,0,2024-04-02 14:32:57
Susu Kedelai,6000,0,0,2022-10-04 12:42:25
Bir Pletok,12000,0,0,2022-10-22 13:27:59
Bajaj,20000,1,0,2023-07-23 12:25:07
Air Putih,3000,0,0,2022-12-01 20:34:56
Gudeg,20000,0,0,2023-05-22 20:47:15
Soda Gembira,10000,0,0,2023-03-30 11:42:06
Nasi Bebek,25000,0,0,2023-01-30 22:10:55
Teh Manis,5000,0,0,2022-10-10 07:16:26
Sate Kambing,35000,0,0,2023-12-18 19:19:36
Hangout,50000,2,0,2023-06-09 19:10:36
Pempek,20000,0,0,2024-08-31 06:31:25
Es Susu Coklat,8000,0,0,2024-08-03 18:16:51
Es Jeruk,6000,0,0,2023-02-11 05:37:30
Teh Putih,9000,0,0,2023-05-07 12:26:56
Susu Kambing,15000,0,0,2023-01-14 15:08:41
Es Terong Belanda,10000,0,0,2024-06-04 17:37:37
Sop Iga,35000,0,0,2023-07-19 21:41:08
Es Cendol,7000,0,0,2022-09-27 06:22:24
MRT,15000,1,0,2023-07-09 13:23:25
Sayur Asem,15000,0,0,2023-11-20 16:19:56
Sewa Properti,5000000,11,1,2024-03-09 21:45:44
Pindang Patin,25000,0,0,2024-05-21 23:16:40
Lontong Sayur,15000,0,0,2024-04-03 04:10:16
Sate Kambing,35000,0,0,2024-05-17 20:09:14
Tahu Gejrot,10000,0,0,2023-03-15 08:02:25
Bajigur,8000,0,0,2024-02-29 08:44:35
Tongseng,30000,0,0,2023-08-03 17:36:19
Nasi Brongkos,20000,0,0,2023-03-09 18:36:39
Soto Betawi,25000,0,0,2024-08-07 23:30:44
Jus Jambu,15000,0,0,2023-08-25 04:11:27
Gado-Gado,15000,0,0,2023-07-19 19:15:58
Es Kolang Kaling,8000,0,0,2023-09-08 22:47:51
Becak,10000,1,0,2024-07-09 11:34:41
Becak,10000,1,0,2023-08-03 09:17:11
Kopi Tubruk,10000,0,0,2023-09-12 10:59:41
Es Susu Coklat,8000,0,0,2022-10-30 22:02:15
Soto Bandung,25000,0,0,2024-02-08 07:19:22
Sop Ayam,20000,0,0,2024-04-06 16:15:17
Nasi Liwet,25000,0,0,2023-10-15 05:29:28
Coto Makassar,25000,0,0,2022-08-08 17:33:20
Becak,10000,1,0,2024-05-10 20:37:41
Susu Kedelai,6000,0,0,2023-11-08 17:40:21
Serabi,10000,0,0,2022-08-13 09:58:12
Ikan Pepes,25000,0,0,2023-11-29 19:00:06
Taksi,50000,1,0,2023-03-04 19:19:42
Soda Jeruk,10000,0,0,2023-02-08 03:14:37
Teh Hitam,7000,0,0,2024-02-27 02:42:57
Jus Nanas,15000,0,0,2024-03-27 03:28:30
Teh Rosella,7000,0,0,2024-07-29 01:37:56
Ikan Goreng,20000,0,0,2024-06-28 07:20:30
Sop Kambing,30000,0,0,2022-11-19 14:44:57
Susu Kambing,15000,0,0,2024-02-23 01:18:21
Taksi,50000,1,0,2023-04-03 11:49:04
Soto Kudus,20000,0,0,2023-01-23 08:28:32
Pindang Patin,25000,0,0,2023-05-21 23:22:51
Soto Madura,25000,0,0,2023-07-09 12:04:46
Rendang,30000,0,0,2023-12-21 10:59:36
Wedang Jahe,8000,0,0,2024-03-11 01:59:19
Nasi Kebuli,30000,0,0,2023-03-26 05:43:24
Bermain di Waterpark,100000,2,0,2022-09-06 20:51:29
Serabi,10000,0,0,2023-09-25 03:01:10
Es Leci,10000,0,0,2022-10-18 08:42:05
Es Jeruk,6000,0,0,2022-12-21 13:42:09
Menghadiri Festival Budaya,50000,2,0,2022-09-05 17:25:26
Nasi Gudeg,20000,0,0,2023-08-05 14:23:26
Ikan Asin,10000,0,0,2024-03-17 10:52:33
Jus Belimbing,15000,0,0,2024-08-22 19:13:06
Soto Kudus,20000,0,0,2022-12-22 18:29:57
Nasi Kebuli,30000,0,0,2024-02-02 13:12:35
Mie Tek-Tek,15000,0,0,2023-07-02 02:44:14
Es Mangga Muda,10000,0,0,2023-02-19 15:01:21
Es Leci,10000,0,0,2024-05-24 07:17:27
Gaji,10000000,10,1,2024-07-01 05:32:57
Es Sarang Burung,12000,0,0,2023-09-10 22:23:17
Ikan Goreng,20000,0,0,2024-01-04 06:59:33
Sop Buntut,40000,0,0,2022-12-28 07:24:06
Soto Bandung,25000,0,0,2023-02-23 21:31:30
Es Nangka,10000,0,0,2023-09-24 10:26:33
Air Putih,3000,0,0,2024-01-19 10:23:36
Opor Ayam,20000,0,0,2023-05-17 06:00:48
Jus Wortel,8000,0,0,2023-02-07 06:22:47
Soto Ayam,18000,0,0,2024-04-24 20:01:53
Bajaj,20000,1,0,2023-12-20 08:40:03
Teh Merah,7000,0,0,2023-02-11 05:31:39
Soto Lamongan,20000,0,0,2023-12-04 13:40:30
Pepes Tahu,15000,0,0,2024-09-09 21:44:29
Es Susu Coklat,8000,0,0,2023-09-12 01:15:03
Ayam Betutu,30000,0,0,2023-10-07 20:05:23
Es Mangga Muda,10000,0,0,2023-01-17 07:07:00
Jus Stroberi,15000,0,0,2022-12-28 05:10:57
Es Cincau,7000,0,0,2023-11-15 09:19:16
Es Pisang Ijo,15000,0,0,2023-01-11 15:32:27
Es Mangga,8000,0,0,2024-01-18 11:33:45
LRT,15000,1,0,2023-08-01 03:58:25
Air Kelapa,10000,0,0,2024-08-26 04:23:45
Warnet,15000,2,0,2024-07-17 08:03:18
LRT,15000,1,0,2023-12-19 15:52:22
Rujak Cingur,20000,0,0,2023-05-05 10:08:12
Jus Jambu,15000,0,0,2023-04-07 04:50:16
Jus Pepaya,15000,0,0,2023-03-21 09:44:08
Ayam Taliwang,30000,0,0,2024-08-10 18:54:27
Es Nangka,10000,0,0,2024-01-02 10:20:29
Jus Nanas,15000,0,0,2023-01-24 12:57:44
Ikan Pepes,25000,0,0,2023-02-04 15:52:24
Bajaj,20000,1,0,2023-04-16 03:25:02
Es Timun,8000,0,0,2024-01-08 05:03:32
Sayur Asem,15000,0,0,2023-11-05 17:13:22
Es Doger,12000,0,0,2024-03-30 21:00:55
Jus Markisa,15000,0,0,2022-09-18 11:05:08
Kwetiau Goreng,20000,0,0,2023-06-28 14:45:12
Ayam Penyet,20000,0,0,2024-04-18 07:45:21
Susu Kambing,15000,0,0,2024-03-04 19:01:19
Es Kelapa,10000,0,0,2024-01-17 23:51:09
Bajaj,20000,1,0,2023-02-26 03:38:37
Bajaj,20000,1,0,2023-11-14 16:46:14
Nasi Kebuli,30000,0,0,2024-04-13 13:23:46
Susu Sapi,8000,0,0,2024-08-07 02:44:32
Nasi Brongkos,20000,0,0,2022-08-15 07:42:58
Es Nangka,10000,0,0,2023-11-24 11:25:25
Ikan Pepes,25000,0,0,2022-11-16 19:28:39
Jus Alpukat,15000,0,0,2023-06-25 21:35:18
Sambal Terasi,10000,0,0,2024-06-22 20:48:31
Soto Kudus,20000,0,0,2024-03-06 03:25:37
Kopi Susu,12000,0,0,2023-07-15 16:24:05
Susu Kambing,15000,0,0,2024-01-06 21:44:27
Pecel,15000,0,0,2022-10-26 18:57:17
Teh Hijau,5000,0,0,2023-05-15 21:37:20
Sate Padang,25000,0,0,2023-03-27 23:52:15
Becak,10000,1,0,2024-03-11 16:49:51
Udang Balado,35000,0,0,2023-12-17 07:30:04
Es Timun Suri,8000,0,0,2023-09-13 12:41:47
Air Jeruk Nipis,7000,0,0,2024-05-20 01:10:12
Wedang Jahe,8000,0,0,2022-12-01 01:25:34
Jus Stroberi,15000,0,0,2024-02-10 07:37:27
Jus Markisa,15000,0,0,2022-09-14 22:29:09
Jus Jeruk,8000,0,0,2023-03-25 06:26:21
Gado-Gado,15000,0,0,2023-03-13 13:52:13
Mie Kocok,20000,0,0,2023-01-16 16:37:43
Es Semangka,8000,0,0,2023-05-06 06:57:29
Teh Sereh,7000,0,0,2023-07-07 07:34:30
Jus Buah Naga,15000,0,0,2023-03-13 14:25:30
Soto Ayam,18000,0,0,2022-08-09 04:21:28
Es Timun Suri,8000,0,0,2024-07-10 17:10:24
Bajigur,8000,0,0,2023-03-08 14:08:35
Pempek,20000,0,0,2023-10-20 11:48:09
Soda Susu,10000,0,0,2023-11-19 13:17:28
Es Terong Belanda,10000,0,0,2022-08-03 12:14:48
Air Putih,3000,0,0,2022-09-24 03:03:39
Tumis Kangkung,15000,0,0,2022-08-17 10:20:59
Martabak,30000,0,0,2022-10-10 11:29:23
Air Jahe,7000,0,0,2023-07-10 07:21:33
Bajaj,20000,1,0,2023-06-21 23:25:41
Nasi Goreng Kambing,25000,0,0,2023-02-18 06:01:54
Bakso Malang,20000,0,0,2023-06-02 11:13:46
Es Cincau,7000,0,0,2023-10-01 15:26:00
Soda Lemon,10000,0,0,2022-11-11 15:45:23
Ikan Bakar,30000,0,0,2023-05-16 03:24:30
Es Susu Vanilla,8000,0,0,2024-02-10 17:19:01
Angkot,5000,1,0,2023-07-07 09:04:15
Sate Lilit,30000,0,0,2022-09-18 03:01:06
Tempe Mendoan,15000,0,0,2024-05-13 19:57:42
Jus Anggur,15000,0,0,2023-08-03 06:25:12
Jus Pepaya,15000,0,0,2023-11-09 15:08:47
Es Timun,8000,0,0,2023-05-27 01:49:46
Taksi,50000,1,0,2024-07-06 00:08:42
Es Sarang Burung,12000,0,0,2024-01-12 23:21:11
Es Doger,12000,0,0,2022-10-02 23:23:21
Nasi Timbel,20000,0,0,2024-04-01 08:52:03
MRT,15000,1,0,2024-04-18 00:17:59
Ikan Goreng,20000,0,0,2024-03-11 01:06:05
Es Nangka,10000,0,0,2022-11-27 07:43:18
Becak,10000,1,0,2023-06-23 19:19:30
Teh Merah,7000,0,0,2024-04-08 08:14:48
Nasi Liwet,25000,0,0,2024-04-18 23:49:30
Es Doger,12000,0,0,2023-01-19 01:43:10
Jus Pepaya,15000,0,0,2023-04-24 03:33:47
Lontong Sayur,15000,0,0,2024-01-05 21:03:31
Lontong Sayur,15000,0,0,2023-09-25 05:36:59
Nasi Lemak,20000,0,0,2024-07-26 22:28:35
Es Cendol,7000,0,0,2024-03-23 11:11:12
MRT,15000,1,0,2023-04-15 10:23:40
Es Terong Belanda,10000,0,0,2024-08-31 11:51:12
Sambal Matah,10000,0,0,2024-05-11 03:55:25
Nasi Goreng Kambing,25000,0,0,2022-12-01 06:29:12
Es Blewah,8000,0,0,2023-02-19 23:35:33
Soda Susu,10000,0,0,2022-08-28 09:49:14
Es Susu Coklat,8000,0,0,2024-06-06 11:51:36
Ayam Betutu,30000,0,0,2024-06-14 04:59:21
Es Leci,10000,0,0,2024-08-31 14:36:52
Soto Madura,25000,0,0,2023-04-17 16:49:33
Es Doger,12000,0,0,2022-11-26 07:42:43
LRT,15000,1,0,2023-04-17 05:23:38
Es Nangka,10000,0,0,2022-09-27 13:46:38
Susu Sapi,8000,0,0,2023-07-11 13:32:56
Siomay,20000,0,0,2023-08-27 09:08:40
Es Mangga Muda,10000,0,0,2023-10-27 22:49:46
Bajaj,20000,1,0,2023-02-11 14:19:39
Nasi Goreng Kambing,25000,0,0,2023-12-17 21:56:48
Dividen Saham,3000000,12,1,2022-08-22 14:28:27
Jus Belimbing,15000,0,0,2023-07-24 16:24:14
Lumpia Semarang,15000,0,0,2024-07-15 17:55:30
Nasi Pecel,15000,0,0,2024-02-04 18:11:58
Nasi Pecel,15000,0,0,2023-06-24 01:44:37
Becak,10000,1,0,2024-08-19 06:22:59
Udang Balado,35000,0,0,2023-02-13 12:14:53
Es Kelapa,10000,0,0,2024-01-12 04:28:56
Jus Sirsak,15000,0,0,2024-02-10 06:39:18
Es Jeruk,6000,0,0,2023-01-30 22:38:00
Es Campur,15000,0,0,2022-12-28 10:27:32
Bajaj,20000,1,0,2024-05-29 14:51:48
Soda Apel,10000,0,0,2024-02-27 23:40:08
Bebek Goreng,30000,0,0,2024-08-29 03:13:01
Es Kolang Kaling,8000,0,0,2023-05-10 21:53:36
Teh Hitam,7000,0,0,2023-02-28 07:46:45
Gulai Kambing,35000,0,0,2023-05-21 14:59:57
Nasi Brongkos,20000,0,0,2023-09-18 09:44:46
Coto Makassar,25000,0,0,2022-10-04 04:18:51
LRT,15000,1,0,2023-11-13 13:19:16
Gudeg,20000,0,0,2022-08-12 12:32:53
Jus Anggur,15000,0,0,2024-04-08 17:57:20
Es Timun,8000,0,0,2024-08-07 22:37:58
Soto Madura,25000,0,0,2024-03-07 23:29:56
Es Kopi,12000,0,0,2023-05-29 01:23:16
Es Cincau,7000,0,0,2023-11-19 21:17:01
Es Apel,8000,0,0,2022-09-17 06:25:58
Kwetiau Goreng,20000,0,0,2023-07-09 03:38:21
Kopi Toraja,15000,0,0,2023-03-22 22:22:31
Es Kopyor,15000,0,0,2024-04-27 07:25:54
Ojek,15000,1,0,2024-04-26 14:29:45
Es Timun Suri,8000,0,0,2023-08-21 19:00:06
Es Blewah,8000,0,0,2024-04-05 00:00:19
Rujak Manis,15000,0,0,2023-12-21 01:50:23
Ikan Goreng,20000,0,0,2024-05-30 18:28:48
Es Susu,7000,0,0,2023-04-09 04:07:39
Teh Hijau,5000,0,0,2024-08-06 03:15:29
Es Melon,8000,0,0,2022-08-14 03:34:26
Es Leci,10000,0,0,2023-10-21 05:34:23
Sop Iga,35000,0,0,2023-07-18 17:36:47
Jus Mangga,15000,0,0,2023-09-13 03:57:07
Taksi,50000,1,0,2023-06-11 16:48:01
Es Sarang Burung,12000,0,0,2023-06-27 11:07:43
Mengunjungi Kebun Binatang,50000,2,0,2023-03-24 06:37:44
Sate Maranggi,30000,0,0,2024-08-26 18:16:04
Tempe Mendoan,15000,0,0,2024-06-15 23:54:01
Es Mangga Muda,10000,0,0,2024-07-17 14:27:37
Bus,5000,1,0,2024-02-13 08:30:01
Bajigur,8000,0,0,2022-09-29 19:57:17
Lontong Sayur,15000,0,0,2023-03-15 19:49:21
Jus Belimbing,15000,0,0,2023-08-30 23:55:34
Kopi Susu,12000,0,0,2023-03-23 19:20:09
Teh Tarik,8000,0,0,2024-03-15 18:31:10
Es Lidah Buaya,10000,0,0,2023-10-07 07:46:01
Soda Lemon,10000,0,0,2023-04-30 16:59:42
Es Susu Coklat,8000,0,0,2022-09-16 13:24:26
Jus Jeruk,8000,0,0,2023-12-13 19:20:15
Soda Apel,10000,0,0,2024-05-18 16:54:59
Soda Jeruk,10000,0,0,2023-10-07 12:11:26
Es Blewah,8000,0,0,2024-07-06 22:36:14
Susu Kambing,15000,0,0,2022-12-07 20:33:44
MRT,15000,1,0,2024-02-26 15:06:13
Pecel Lele,20000,0,0,2023-09-13 08:30:26
Jus Pepaya,15000,0,0,2024-04-10 15:50:32
Jus Stroberi,15000,0,0,2022-11-08 14:22:04
Soda Lemon,10000,0,0,2024-01-15 13:40:53
